id,name,sku,storage_unit,ingredient_unit,storage_to_ingredient_factor,cost,minimum_level,par_level,maximum_level,category_reference,barcode,name_localized
9fa79fb3-4d7a-41c2-afb0-9f2e04ca46e9,"Croissant Cheese and Mint",sk-0661,قطعة,قطعة,1,7.39,,,,bap,,"كروسان جبن ونعناع"
9fa79e76-a8c9-4867-86bb-b1efae93eeb9,"danish cheese & honey",sk-0660,قطعة,قطعة,1,9,,,,bap,,"جبن وعسل دانيش"
9f3fbd75-1ecc-45d3-8215-591d534d8329,"اكواب 7 اونز",sk-0659,كرتون,حبة,1000,110,,,,pa,,"اكواب 7 اونز"
9f3ae441-e09e-4849-bff6-f4b6f5a52336,"Cold Brew",sk-0658,حبة,حبة,1,2.94,,,,pm,,"كولد برو منتج"
9f3721b1-3419-4723-9690-d33f96b15db3,"Raspberry roll cake",sk-0657,قطعة,قطعة,1,8.5,,,,,,"كيك رول التوت"
9f37216b-d490-4094-93ce-e2712e02df76,"Lemon roll cake",sk-0656,قطعة,قطعة,1,7,,,,,,"كيك رول ليمون"
9f0712bc-54aa-40a9-85f2-c2940bf87de3,كركدية,sk-0655,حبة,حبة,1,,,,,pm,,كركدية
9ef89d5d-1040-4043-a36c-bf8b99341bc9,"Margherita Pizza",sk-0654,قطعة,قطعة,1,6,,,,bap,,"بيتزا مارجريتا"
9ef89996-4426-463b-9099-6c6f0ee06b46,"Cheese pizza",sk-0653,قطعة,قطعة,1,7,,,,bap,,"بيتزا اجبان"
9ef89871-4abc-4bb2-83e0-74f9a151b159,"Pizza Mitso",sk-0652,قطعة,قطعة,1,7.75,,,,bap,,"بيتزا ميتسو"
9e6a887b-8fd4-4250-b32f-814ab0275e5d,"Coconut ball",sk-0651,قطعة,قطعة,1,6,,,,,,"كرة جوز الهند"
9e65ec4e-2a00-4d0a-8fda-ace655d2a8e1,"cinamon ball",sk-0650,قطعة,قطعة,1,6,,,,,,"كور القرفه"
9e3002e2-34e1-4cfa-96ba-2f255e2953f0,"NOVEMBER MUG",sk-0649,حبة,حبة,1,16.2334,,,,pm,,"كوب نوفمبر"
9e2da164-54f9-4f02-876b-17957b15a9c1,"Chocolate tablets",sk-0648,كرتون,حبة,300,395,,,,,,"اقراص تشوكلت"
9e234d65-3170-4f4f-976f-5f1be9e3287d,"Milk alpro",sk-0647,لتر,ملي,1000,14,,,,pm,,"حليب البرو"
9e15c6db-f077-406a-b95c-214719eab126,"DANTELLE CHOCOLATE",sk-0646,قطعة,قطعة,1,7.7,,,,,,"شوكولاتة دانتيل"
9e15c67e-a264-4a2e-bf4b-0ace13d57eef,"DRAGEE PECAN",sk-0645,قطعة,قطعة,1,7.5,,,,,,"دراجية بيكان"
9e15c4ef-902d-4298-9834-3c9f95cc64b4,"chocolate cigar",sk-0644,قطعة,قطعة,1,7.65,,,,,,"شيكولاتة سيجار"
9df30cb9-9daa-4217-99ff-c8d6684e6d63,"Lava Cake",sk-0643,قطعة,قطعة,1,6.04,,,,,,"لافا كيك"
9ddae973-07d5-4b87-a86d-7a3058440de0,"toffee budding",sk-0642,قطعة,قطعة,1,5.15,,,,,,"بودنج التوفي"
9dcef658-4047-43ea-8440-b0b6e7fde132,"uper Natural l Uraga 250G",sk-0641,كيس,كيس,1,20.39,,,,rb,,"اوراقا سوبر ناتشورال 250G"
9dcef51d-cb34-4de4-995f-4d78a1387b21,"Mexico qicha 250g",sk-0640,كيس,كيس,1,11.88,,,,rb,,"مكسيكي قيشا 250 g"
9dcef321-f8c0-4a88-8920-f1ff2dc29026,"Mexico Catura 250g",sk-0639,كيس,كيس,1,14.375,,,,rb,,"مكسيكي كاتورا  250G"
9d846e2a-100e-43fc-93eb-6c47417296b4,KOLIJA,sk-0638,قطعة,قطعة,1,3.75,,,,,,كليجا
9d846dd7-b3df-4a24-92e0-2f20e65a03c8,MAMOL,sk-0637,قطعة,قطعة,1,3.75,,,,,,معمول
9d826244-00ab-4999-977f-30428465aee1,"PECAN CAKE ROLL",sk-0636,قطعة,قطعة,1,10,,,,,,"رول كيك البيكان"
9d76dbb3-163a-4dcb-b419-81a188677823,"Matcha powder",sk-0635,كيلو,جرام,1000,630,,,,pm,,"ماتشا بودر"
9d6e806c-049c-4d59-8e87-ef7b88db9b03,"Babka zater",sk-0634,قطعة,قطعة,1,9,,,,bap,,"بابكا زعتر"
9d6e7ffa-8b5e-4b9c-a2a3-543d747ff131,"babka feta",sk-0633,قطعة,قطعة,1,7.5,,,,bap,,"بابكا فيتا"
9d6e7faa-a7b5-4e19-a083-f8d98cdd1777,"Babka nutella",sk-0632,قطعة,قطعة,1,7.65,,,,bap,,"بابكا نوتيلا"
9d6e7f4b-cfb7-4c0d-a3b6-d9f30c09a24d,"Babka cinnamon",sk-0631,قطعة,قطعة,1,7.5,,,,bap,,بابكا
9d688732-7ddc-44a5-885e-5562d38a2870,"DANISH FIG",sk-0630,قطعة,قطعة,1,7.92,,,,bap,,"دانيش التين"
9d5f1f9d-a590-45dc-ae7b-44dfe81b8600,"Transparent hard cover with click",sk-0629,كرتون,حبة,1000,190,,,,pa,,"غطاء مقوي شفاف مع كليك"
9d5f1eee-e221-4e4f-98f3-43e6d2c71ccc,"New printed paper plate",sk-0628,حبة,حبة,1,0.2,,,,pa,,"صحن ورقي مطبوع جديد"
9d5c672a-85be-456c-9b7c-5860af186201,"Danish olive and tomato",sk-0627,قطعة,قطعة,1,5.95,,,,bap,,"دانش الطماطم"
9d5c5c3f-e352-4502-83a5-4cb390608fc0,"Tiramisu Roll",sk-0626,قطعة,قطعة,1,10,,,,,,"رول تراميسو"
9d5c5ba7-bcef-461b-a3ec-be5ca695d990,"Danish blueberry",sk-0625,قطعة,قطعة,1,13,,,,bap,,"دانيش التوت"
9d5c5a97-e0c7-4689-b191-f7e4138726cf,"Danish dates and cardamom",sk-0624,قطعة,قطعة,1,7.04,,,,bap,,"دانيش التمر والهيل"
9d5c5a11-da67-4a66-ba70-a3ab03aca0d8,"Danish tahini",sk-0623,قطعة,قطعة,1,6.16,,,,bap,,"دانيش الطحينة"
9d5c596e-3e10-4001-a3e0-2b54cf22dc0a,"Danish Mango",sk-0622,قطعة,قطعة,1,13,,,,bap,,"دانيش المانجو"
9d5c578c-f9c9-4a62-bebd-c1480bc0f490,Focaccia,sk-0621,قطعة,قطعة,1,7,,,,bap,,فوكاتشيا
9d5c547a-67bf-4b93-ba37-7597f4b55403,"berry cheesecake",sk-0620,قطعة,قطعة,1,9.57,,,,,,"تشيز كيك التوت"
9d5c52f8-1433-4cc3-a195-a4bfd89f4ca6,"Pan Swiss Almond",sk-0619,قطعة,قطعة,1,10.44,,,,bap,,"بان سويس اللوز"
9d5c50fc-3c30-4ab2-80e6-e53c5a33315d,"Pan Swiss Cheese",sk-0618,قطعة,قطعة,1,7.92,,,,bap,,"بان سويس الجبنة"
9d344427-a738-4d82-826d-86a6d0b7a0e4,"Uraga 250 g",sk-0617,كيس,كيس,1,10.63,,,,rb,,"اوراقا 250 g"
9d0c1793-5bac-4cca-885b-dc99a976eccd,"Costa Rica Naranjo 250g",sk-0616,كيس,كيس,1,10.47,,,,rb,,"كوستاريكا نارينجو ٢٥٠ g"
9cfe01b3-5d39-4288-b0ba-f001e8f8b4c1,"Shakiso 250 g",sk-0615,كيس,كيس,1,9.75,,,,rb,,"شاكيسو ٢٥٠ g"
9c066bc7-f99b-4820-8d6c-101150f9ac7e,"Burundi 250 g",sk-0613,كيس,كيس,1,8.75,,,,rb,,"برواندي 250 g"
9b905884-c632-45cd-8a8d-68cf3f0dcbc1,"Pistachio Cheese Cake",sk-0612,قطعة,قطعة,1,15,,,,,,"تشيزكيك الفستق"
9b7b5ded-518f-44b6-b906-3af29d7120f9,"Cheesecake Pecan",sk-0611,قطعة,قطعة,1,15,,,,,,"تشيز كيك البيكان"
9b7b5d36-9338-44ae-804d-33a5069cada9,"Chocolate Moussecake",sk-0610,قطعة,قطعة,1,12,,,,,,"كعكة موس الشوكولاته"
9b7b5c72-bd60-4a97-b2ec-f53d97dee963,"Cheesecake Cup Vanilla",sk-0609,قطعة,قطعة,1,14,,,,,,"كوب تشيز كيك فانيليا"
9b53c7d2-e7ba-457f-80a6-c288218bec94,"washed Patchi 250 g",sk-0608,كيس,كيس,1,9.25,,,,rb,,"مغسولة باتشي 250 g"
9b34ff68-bc5f-4a5c-b942-27d0da132ec0,"Chocolate tart",sk-0607,قطعة,قطعة,1,8,,,,,,"تارت شوكلت"
9b28fe00-9851-4fc3-a370-0159e924a161,"Chocolate cake",sk-0606,قطعة,قطعة,1,10,,,,,,"كيك الشوكولاتة"
9ad507ee-c513-4b53-b415-7f23f466b6e3,"Panama Catuai",sk-0605,كيس,كيس,1,11.357,,,,rb,,"بنما كاتواي"
9ad5023d-486a-4077-a2d2-c6795b0e90e1,"Honey Mexico",sk-0604,كيس,كيس,1,11.12,,,,rb,,"مكسيكي عسلية"
9ad50079-6620-4e87-adf5-fe31ea907442,"mexico washed",sk-0603,كيس,كيس,1,9.91,,,,rb,,"مكسيكي مغسولة"
9ad2a1b1-20f5-43cf-94ec-ea7149b4ee00,"Chocolate banana muffin",sk-0602,قطعة,قطعة,1,7,,,,,,"مافن الموز بالشوكولاتة"
9a9ab35b-625a-4158-9c9f-9aea5cfc81f0,"Hario V60 Range 500ml",sk-0601,حبة,حبة,1,57,,,,pm,,
9a6456fc-b0bd-4c5d-a668-7267a45aefa5,"De Caffeine 250g",sk-0600,كيس,كيس,1,11.875,,,,rb,,"250g دي كافين"
9a64550c-6b6e-4718-9a66-dfaa494727bf,"Panama Caturra 250",sk-0599,كيس,كيس,1,11.36,,,,rb,,"بنما كاتورا"
99ef8ef5-54c3-4990-9782-9c3c9b100923,"consumed items",sk-0598,كرتون,حبة,1,25,,,,pa,,"مواد مستهلكة"
99d8ea85-18ae-4d67-bd1e-90b8543cd31b,"Caramel Pecan Cheesecake BB",sk-0597,قطعة,قطعة,1,9,,,,,,"كراميل البيكان"
99d8e93d-ffbc-4008-98ee-09c0fc4ff354,"London cheesecake",sk-0596,قطعة,قطعة,1,14,,,,,,"تشيز كيك لندن"
99bf5f90-a742-4260-9379-5f1003021664,"Mexico Pache",sk-0595,كيس,كيس,1,11.44,,,,rb,,"مكسيكي باتشي"
99bb439d-2c6f-4f0e-827c-6807393dc9c8,"November hanger paper bag (Al Qattan)",sk-0594,كرتون,حبة,400,240,,,,pa,,"كيس ورق علاقي نوفمبر ( القطان )"
99b8e248-b4d2-4fde-844f-ab2b3ed4060e,"Carrot Cake",sk-0593,قطعة,قطعة,1,9,,,,,,"كيكة الجزر"
99b75995-7028-40d3-8aa9-86aa2f18a91e,"Classic cheesecake",sk-0592,قطعة,قطعة,1,9.5,,,,,,"تشيز كيك كلاسيك"
99af2a08-2a6f-434b-9b9e-5d93abd14edc,Patiswiss,sk-0591,حبة,حبة,1,12.65,,,,,,"شوكولاتة فواكة"
9976ee3c-ea73-4f7b-947d-066a82bee2e1,"Small bag filter",sk-0590,كرتون,حبة,6000,385.4,,,,pa,,"فلتر كيس صغير"
9976ed26-cc3c-476f-967e-78ac275c4129,"Chinese filter",sk-0589,كرتون,حبة,5050,854.27,,,,pa,,"فلتر صيني"
9976eb5d-1fa1-481d-ac53-b306f4d4bddc,"Coffee box",sk-0588,كرتون,حبة,450,735.65,,,,pa,,"بوكس قهوة"
9964b1b1-03e0-44b9-9944-acef080926d3,"Croissant white paper bags",sk-0587,كرتون,حبة,1000,169.565,,,,pa,,"اكياس ورقية ابيض كروسان"
9946899c-f9e1-4c70-a636-5cabf57cf15d,"White napkins",sk-0586,كرتون,حبة,40,75,,,,cm,,"مناديل سفرة ابيض"
992e0f30-b083-43e0-aadc-36072db1f32a,"Transparent liter plastic boxes",sk-0585,كرتون,حبة,96,73.91,,,,pa,,"علب بلاستيك لتر شفاف"
98a16b22-f730-4114-b45e-e89d3736241e,فلين,sk-0582,شدة,1,10,95.65,,,,pa,,فلين
989714d6-4285-4d57-a440-c6195494ffe3,"Cleaner materials",sk-0581,كرتون,حبة,1,40.87,,,,pa,,"مواد نظافة"
988711ac-b20a-47e3-855a-64082bf59083,"plastic cansml 200",sk-0580,كرتون,حبة,432,121.74,,,,pa,,"علب بلاستيك 200 ملي"
98755257-ecf1-440d-848e-7d83c69e1fd1,"Small white paper bags",sk-0579,كرتون,حبة,250,160.87,,,,pa,,"اكياس ورقية ابيض صغير للحبيب"
9850fe74-3189-4c57-b851-1c23929b1a8c,"ليمون ونعناع",sk-0578,كيلو,حبة,8,3,,,,pm,,
98046bb9-9d02-4785-84b6-5f057eb2afb6,Danish,sk-0575,قطعه,قطعه,1,4,,,,bap,,"دانيش / خوخ , بلوبيري"
97fc3e88-3d99-4f72-84c6-335b9a4b27f4,"12 ozjacket cold cups",sk-0574,حبة,حبة,1,0.37,,,,pa,,"جاكيت اكواب بارد 12 اونز"
97faa093-0dba-453b-9b94-2af9c796a640,"حافظه مشروبات لتر ونص",sk-0573,حبة,حبة,1,1.05,,,,pa,,"علب بلاستيك لتر ونص"
97b64efb-9b8c-40d5-a0bd-57dfef827047,Konga,sk-0571,كيس,كيس,1,10.6,,,,rb,,"كونقا جديد"
97b64cda-fcb2-4b52-a3b3-3ec02996307f,Brazil,sk-0570,كيس,كيس,1,7.2,,,,rb,,"فزيندا برازيلي جديد"
97b63fa1-10d8-423b-8a09-39dd50fb6cdd,"Sidomo BULE HORA 250g",sk-0569,كيس,كيس,1,11.1,,,,rb,,"بلوهورا ٢٥٠ جم"
97b63c8f-6ef1-42ca-b23b-df95a1ff88d7,"Dried Arabica Mexico",sk-0568,كيس,كيس,1,13.625,,,,rb,,"مكسيك اربيكا مجففة"
97b3c5c0-43f2-491d-90d5-3ccb55535724,"Cold Pro Filter",sk-0567,شدة,حبة,1,359.98,,,,om,,"فلتر كولد برو"
9797c7f6-3a67-4dfa-a88a-a854b82bdb85,"transparent tape",sk-0566,كرتون,حبة,30,52.17,,,,pa,,"تيب شفاف"
9793e319-613e-4642-86ab-e1ba73fb524a,"Paper Bags (Burger + Cookies)",sk-0565,كرتون,حبة,1000,86.956,,,,pa,,"اكياس ورقية (برجر + كوكيز)"
976f7887-0e05-4213-8339-c152b16d2837,"tart mix red berry",sk-0561,قطعه,قطعه,1,17,,,,,,"تارت التوت الاحمر"
976f77ae-ab61-4897-aebb-1cdd8635ba80,"Chocolate Eclair",sk-0560,قطعه,قطعه,1,13.5,,,,,,
976f768f-0e8a-4208-86dd-3c5504a84a52,MilleFeuille,sk-0559,قطعه,قطعه,1,16,,,,,,ميلفيه
976f74ec-8be0-430b-9e04-ed18ef04dd9b,"berry cheesecake",sk-0558,قطعه,قطعه,1,16,,,,,,"كعكة التوت"
974d441b-0fbe-42aa-954f-f67fde6890fb,Cookies,sk-0554,قطعه,قطعه,1,3.81,,,,,,كوكيز
97432d8f-3a17-4f59-98b0-849aabc19015,"White coffee bags, a quarter of a kilo",sk-0553,كرتون,حبة,1250,752.38,,,,cbb,,"اكياس بن ربع كيلو ابيض 250 جرام"
9735905c-f35a-47af-81cd-335fc3960e42,كركدية,sk-0552,علبة,باكيت,30,0.5,,,,pm,,كركدية
973567c6-a5bd-4a98-85a9-1d0593b06cf6,"علبة كيك مستطيل",sk-0551,كرتون,حبة,500,143.48,,,,pa,,
96daed61-4766-4fec-b7fc-f2b76450de37,"Epivia condensed milk",sk-0548,علبة,جرام,390,3.35,,,,pm,,"حليب مكثف ابيفيا"
96b692e7-5300-4102-8f75-191ea7b858ff,"16 ounce cups",sk-0547,كرتون,حبة,500,201.76,,,,pa,,"اكواب16 اونز"
96a8dcc7-8443-4f38-9736-b4239179c5ac,"9 ounce cups",sk-0546,كرتون,حبة,500,90,,,,pa,,"اكواب 9 اونز + 10 اونز الجديد"
96a8dbca-64fb-4d81-9cf8-1a0cbcaa8134,"4 ounce cups",sk-0545,كرتون,حبة,1000,80,,,,pa,,"اكواب 4 اونز"
96a8d946-aec7-44b5-850e-ce6bbf72de13,"8 ounce cups",sk-0544,كرتون,حبة,500,85,,,,pa,,"اكواب  8 اونز الجديد"
96a24141-86fb-4a8b-955e-8bca2bf3d9a6,"white coffee bags",sk-0543,كرتون,حبة,700,530.43,,,,cbb,,"اكياس قهوة لون ابيض 1000 جرام"
9686372e-95ec-4d0b-a56c-ef2f8aa859b7,"glass cans",sk-0542,كرتون,حبة,60,113.043,,,,con,,"علب زجاج"
9647b4da-7f84-46b8-a44a-abaa4a706dae,".NOVA 330",sk-0541,كرتون,حبة,40,14.29,,,,wat,,"نوفا 330."
96419751-bcc3-4986-b4b8-2fca8fb60371,"thermal mesh roll",sk-0540,كرتون,حبة,80,160,,,,con,,"رول شبكة حراري"
96419685-1886-46ae-afd3-8e4aa46155ae,"Thermal cashier roll",sk-0539,كرتون,حبة,50,73.913,,,,con,,"رول كاشير حراري"
960c40f2-19a9-4521-8083-8bae975c5f9f,"wooden stirrer",sk-0538,كرتون,حبة,5000,104.35,,,,om,,"محراك خشب"
95f5bc8e-f69e-4aa2-a738-7f65f38c86d4,"Creme Brulee",sk-0537,قطعه,قطعه,1,13,,,,,,"تشيز كيك كريم بروليه"
95dd7ada-f84d-4a39-bb38-2664be23e8b8,"General roasted coffee",sk-0535,كيلو,جرام,1000,40,,,,rb,,"بن محمص عام"
95dd5ade-363b-42ea-8eb3-36a0cc9155e2,Orange,sk-0534,لتر,جرام,1000,20,,,,pm,,برتقال
95c5660b-7730-4762-b357-f2ad69f09b4c,"GRINDER -Hario",sk-0533,حبة,حبة,1,94.35,,,,,,"مطحنة يدوية"
95c562d3-4e67-4d40-8d1b-0673d1a28f26,"V60 set",sk-0532,حبة,حبة,1,56,,,,,,"طقم التحضير"
95c561bf-1c61-46f9-b43c-d792ce066062,"puly cleaning powder 900g",sk-0531,حبة,حبة,1,35.75,,,,cm,,"بودره تنظيف"
95c56048-b8e1-4875-a4d6-468c7ff5c4bc,"pule steam cleaner",sk-0530,حبة,حبة,1,45.5,,,,cm,,"منظف الاستيم"
95c526ba-8a29-4dbc-9424-5fe58142ee92,"paper filter",sk-0529,كرتون,حبة,500,117.8,,,,om,,"فلتر ورقي قهوة اليوم"
95c5107b-ab5b-41b6-ac4f-fac985b7812f,"nylon glove",sk-0528,كرتون,حبة,100,45.22,,,,cm,,"قفاز نايلون"
95c508f1-4c0c-48e8-aa63-f0f602f2f731,"big white glove",sk-0527,علبة,حبة,100,10.4346,,,,pa,,"قفاز ابيض كبير"
95c50655-a7ab-4b71-bbdd-8be74699fadc,"black knife",sk-0526,كرتون,حبة,1000,56.52,,,,pa,,"سكين اسود"
95c4fe8b-42e5-4317-8cf0-e1e6caedf073,"blue whipple roll towels",sk-0525,شد,حبة,475,91.3,,,,cm,,"مناشف رول ويبال ازرق"
95c4fc95-814d-469a-a619-1f092921000d,"small carton online",sk-0524,حبة,حبة,1,0.93,,,,pa,,"كرتون صغير اون لاين"
95c4fbf6-ca1b-43c3-8c6f-fc004f3b0630,"Cardboard medium online",sk-0523,حبة,حبة,1,1.29,,,,pa,,"كرتون وسط اون لاين"
95b8f50d-1152-4494-8aef-9619ef2fbb38,"cup 9oz White (يوم التاسيس)",sk-0521,كرتون,حبة,1000,355,,,,pa,,"اكواب 9اونز ابيض (يوم التاسيس)"
95b8f23e-22dd-43d5-93ed-9bae72a2876b,"cup 12 oz black (يوم التاسيس)",sk-0520,كرتون,حبة,1000,455,,,,pa,,"اكواب 12 اونز اسود (يوم التاسيس)"
95b8f0b1-a971-459a-a05e-213b4e0ffbcd,"cup 12 oz  White (يوم التاسيس)",sk-0519,كرتون,حبة,1000,455,,,,pa,,"اكواب 12 اونز ابيض (يوم التاسيس)"
95b7573c-e8b0-4c45-8bea-c92867222cdb,"Cinnamon Roll",sk-0518,قطعه,قطعه,1,,,,,bap,,"لفائف القرفه"
95ab5895-f91d-4a5c-8109-5e44f7022093,"november napkins printed",sk-0517,كرتون,حبة,24,75,,,,cm,,"مناديل نوفمبر مطبوع"
95ab5813-f473-4019-827a-39375dbc09a8,"table napkins",sk-0516,كرتون,رابطة,2,75,,,,cm,,"مناديل طاولة"
95ab54a2-4055-4aa1-a02a-ce3991015a79,"Maxi Roll Gold",sk-0515,كرتون,حبة,6,47,,,,cm,,"مناديل ماكسي رول جولد"
959d27c6-07ca-4658-b8d8-2bbec1719efd,"Roasted natural Rwandan coffee  002A",sk-0514,كيس,كيس,1,11.88,,,,rb,,"قهوة رواندي طبيعية محمصة 002A"
959d274b-f1c5-4205-9e91-e09e25a4908c,"Rwandan Coffee Roasted   002B",sk-0513,"كيلو جرام",جرام,1000,47.8,,,,,,"قهوة رواندي طبيعية محمصة002B"
959d264a-a7f9-48f7-9bb3-183508b7b06f,"Colombian Tolima",sk-0512,كيس,كيس,1,12.375,,,,rb,,"توليما كولومبي"
9564e4a6-12c1-40ab-80ed-9ea6540737bf,"Amederaro Rosted 1kg",RB-0383,كيلو,جرام,1000,89.45,,,,,,"اميدرادو محمص 1ك"
9564e22e-397a-4394-a22b-7e5006771d74,Idido,RB-0380,كيس,كيس,1,10.6,,,,rb,,أديدو
9562b192-e82e-4672-ab1c-1065ff902ca7,"Dark chocolate beans",sk-0504,كيلو,جرام,1000,50.26,,,,pm,,"شيكولاتة غامق حبوب"
9558abe9-b368-41d4-9d1b-830284b24232,"Small dessert paper bag",Op-0448,حبة,حبة,1,0.2,,,,pa,,"كيس ورق للحلا صغير"
9558aab6-9754-4718-b69e-d284f262e72e,"printed paper bag",Op-0447,كرتون,حبة,200,84,,,,pa,,"كيس ورق علاقي سادة"
9556aa49-591c-4b66-a140-aff623925be2,"coated thistle",Op-0446,كرتون,حبة,1000,86.96,,,,pa,,"شوك مغلف"
9556a74c-efb0-4602-adbb-202fec68465a,"medium shipping carton",Op-0444,حبة,حبة,1,3.83,,,,pa,,"كرتون شحن وسط"
9556a649-876b-435d-b189-03775b96ad75,"VIP dining set",Op-0443,كرتون,حبة,500,85.22,,,,pa,,"طقم سفره vip"
95569090-b8a7-4af9-90a6-eb49b2dd9f06,"estrw6 mm black",Op-0442,كرتون,حبة,7000,100,,,,pa,,"مزاز 6 ملي اسود"
95568ccd-fc95-4951-8921-eed2ff888f94,"black plastic spoons",Op-0441,شد,حبة,50,2.39,,,,pa,,"ملاعق اسود بلاستيك"
95568ba0-c6fa-4bc1-8134-6f717b904be6,"black plastic fork",Op-0440,شد,حبة,50,2.39,,,,pa,,"شوكه اسود بلاستيك"
95568a1c-0af9-4f75-b359-88c0a76c1557,"black plastic knife",Op-0439,شد,حبه,50,2.39,,,,pa,,"سكين اسود بلاستيك"
955688b7-a99b-4675-a9ce-dc7c510180bd,"Cold 12 ounce cups جديد",Op-0438,كرتون,كوب,500,100,,,,pa,,"اكواب 12 اونز جديد"
95568105-61d0-427f-9f54-c757113b62d7,"12 cold printed cups",Op-0435,حبة,حبة,1,0.33,,,,pa,,"اكواب 12 بارد مطبوع"
95567f60-911e-48a2-972b-267ae1874a89,"8 ozjacket cold cups",Op-0434,حبه,حبه,1,0.58,,,,pa,,"جاكيت اكواب بارد 8 اونز"
95567e0b-b5ce-4689-87e0-d1621da1d789,"Coffee box 1.50 liters",Op-0433,حبة,حبه,1,4.5,,,,pa,,"بوكس قهوة ١.٥٠ لتر"
95567c1f-155b-4611-b322-6cc7ce9e41e4,"1 liter coffee box",Op-0432,كرتون,حبه,250,2626,,,,pa,,"بوكس قهوة ١ لتر"
95567abb-4280-4f01-af84-1df2d72f73a8,"Double printed cup holder",Op-0431,حبة,حبة,1,2.5,,,,pa,,"حامل اكواب ثنائي مطبوع"
955676e2-ebdd-4c98-b91f-caafa2f7bcb4,"4Cups Holder in packs",Op-0430,كرتون,حبة,250,60.8696,,,,pa,,"4حامل أكواب في عبوات"
95567425-7038-4a85-b327-2bb4b8f48707,"2Cups Holder in packs",Op-0429,كرتون,حبة,250,36.52,,,,pa,,"2حامل أكواب في عبوات"
955485fe-692d-4bec-8f1b-db5fc26f7ecf,قفاز,Op-0428,كرتون,حبة,100,45.22,,,,cm,,قفاز
955484d2-b150-4b01-8443-22beaaff43e3,"white gloves M",Op-0427,علبه,علبه,1,4.78,,,,cm,,"قفازات ابيض وسط"
95548185-2f26-4edf-b428-48ec5d7ccb00,"black mask",Op-0426,كرتون,علبه,40,260.87,,,,cm,,"ماسك اسود"
9554800d-b256-4177-b5aa-55256fa2a2c2,"folded toilet paper",Op-0424,كرتونه,علبه,1,46,,,,cm,,"مناديل حمام مطوي"
95547ede-6aab-4405-81f1-8a6fd7ef9ac8,"Maxi Roll Autokat",Op-0423,كرتون,حبة,6,56.5215,,,,cm,,"ماكسي رول اوتوكات"
95547d1f-b826-4ac4-b048-e596487e16b9,"Toilet paper",Op-0422,شد,رابطه,48,47.83,,,,cm,,"مناديل حمام"
955477fe-ec6f-4aee-8944-f3926f0c75d8,"hand wipes",Op-0421,كرتونه,حبه,24,49.575,,,,cm,,"مناديل يد"
